00000000777000000.mp4,Segment1,Frame:3540,Time:299.4s,TotalBoxes:34,S:3,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3570,Time:302.0s,TotalBoxes:34,S:3,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3600,Time:304.5s,TotalBoxes:34,S:3,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3630,Time:307.0s,TotalBoxes:34,S:3,M:29,L:0
00000000777000000.mp4,Segment1,Frame:3660,Time:309.5s,TotalBoxes:35,S:3,M:30,L:0
00000000777000000.mp4,Segment1,Frame:3690,Time:312.1s,TotalBoxes:36,S:3,M:31,L:0
00000000777000000.mp4,Segment1,Frame:3720,Time:314.6s,TotalBoxes:37,S:3,M:32,L:0
00000000777000000.mp4,Segment1,Frame:3750,Time:317.1s,TotalBoxes:37,S:3,M:32,L:0
00000000777000000.mp4,Segment1,Frame:3780,Time:319.6s,TotalBoxes:38,S:3,M:33,L:0
00000000777000000.mp4,Segment1,Frame:3810,Time:322.1s,TotalBoxes:39,S:3,M:34,L:0
00000000777000000.mp4,Segment1,Frame:3840,Time:324.6s,TotalBoxes:39,S:3,M:34,L:0
00000000777000000.mp4,Segment1,Frame:3870,Time:327.2s,TotalBoxes:39,S:3,M:34,L:0
00000000777000000.mp4,Segment1,Frame:3900,Time:329.8s,TotalBoxes:40,S:3,M:35,L:0
00000000777000000.mp4,Segment1,Frame:3930,Time:332.3s,TotalBoxes:40,S:3,M:35,L:0
00000000777000000.mp4,Segment1,Frame:3960,Time:334.9s,TotalBoxes:41,S:3,M:36,L:0
00000000777000000.mp4,Segment1,Frame:3990,Time:337.4s,TotalBoxes:41,S:3,M:36,L:0
00000000777000000.mp4,Segment1,Frame:4020,Time:339.8s,TotalBoxes:41,S:3,M:36,L:0
00000000777000000.mp4,Segment1,Frame:4050,Time:342.4s,TotalBoxes:42,S:3,M:37,L:0
00000000777000000.mp4,Segment1,Frame:4080,Time:344.9s,TotalBoxes:42,S:3,M:37,L:0
00000000777000000.mp4,Segment1,Frame:4110,Time:347.4s,TotalBoxes:42,S:3,M:37,L:0
00000000777000000.mp4,Segment1,Frame:4140,Time:350.0s,TotalBoxes:43,S:3,M:38,L:0
00000000777000000.mp4,Segment1,Frame:4170,Time:352.5s,TotalBoxes:43,S:3,M:38,L:0
00000000777000000.mp4,Segment1,Frame:4200,Time:355.0s,TotalBoxes:43,S:3,M:38,L:0
00000000777000000.mp4,Segment1,Frame:4230,Time:357.6s,TotalBoxes:44,S:3,M:39,L:0
00000000777000000.mp4,Segment1,Frame:4260,Time:360.1s,TotalBoxes:45,S:3,M:40,L:0
00000000777000000.mp4,Segment1,Frame:4290,Time:362.6s,TotalBoxes:45,S:3,M:40,L:0
00000000777000000.mp4,Segment1,Frame:4320,Time:365.1s,TotalBoxes:45,S:3,M:40,L:0
